"Census","School Name","Category","Year Level","Students"
"14 February 2025","Daramalan College","Non Gov","Year 12","232"
"14 February 2025","Daramalan College","Non Gov","Year 11","239"
"14 February 2025","Daramalan College","Non Gov","Year 10","260"
"14 February 2025","Daramalan College","Non Gov","Year 9","263"
"14 February 2025","Daramalan College","Non Gov","Year 8","256"
"14 February 2025","Dickson College","Gov","Year 12","405"
"14 February 2025","Dickson College","Gov","Year 11","481"
"14 February 2025","Dickson College","Gov","Year 10","12"
"14 February 2025","Dickson College","Gov","Year 9","4"
"14 February 2025","Dickson College","Gov","Year 8","5"
"14 February 2025","Dickson College","Gov","Year 7","8"
"14 February 2025","Duffy Primary School","Gov","Year 5","53"
"14 February 2025","Duffy Primary School","Gov","Year 4","49"
"14 February 2025","Duffy Primary School","Gov","Year 3","60"
"14 February 2025","Duffy Primary School","Gov","Preschool","35"
"14 February 2025","Duffy Primary School","Gov","Kindergarten","49"
"14 February 2025","Duffy Primary School","Gov","Year 1","51"
"14 February 2025","Duffy Primary School","Gov","Year 2","47"
"14 February 2025","Duffy Primary School","Gov","Year 6","54"
"14 February 2025","Emmaus Christian School","Non Gov","Year 3","55"
"14 February 2025","Emmaus Christian School","Non Gov","Preschool","31"
"14 February 2025","Emmaus Christian School","Non Gov","Kindergarten","50"
"14 February 2025","Emmaus Christian School","Non Gov","Year 1","54"
"14 February 2025","Emmaus Christian School","Non Gov","Year 2","54"
"14 February 2025","Emmaus Christian School","Non Gov","Year 4","54"
"14 February 2025","Emmaus Christian School","Non Gov","Year 5","54"
"14 February 2025","Emmaus Christian School","Non Gov","year 6","54"
"14 February 2025","Emmaus Christian School","Non Gov","Year 10","49"
"14 February 2025","Emmaus Christian School","Non Gov","Year 7","55"
"14 February 2025","Emmaus Christian School","Non Gov","Year 8","53"
"14 February 2025","Emmaus Christian School","Non Gov","Year 9","52"
"14 February 2025","Erindale College","Gov","Year 12","402"
"14 February 2025","Erindale College","Gov","Year 10","75"
"14 February 2025","Erindale College","Gov","Year 11","452"
"14 February 2025","Evatt Primary School","Gov","Year 5","48"
"14 February 2025","Evatt Primary School","Gov","Year 6","38"
"14 February 2025","Evatt Primary School","Gov","Preschool","42"
"14 February 2025","Evatt Primary School","Gov","Kindergarten","29"
"14 February 2025","Evatt Primary School","Gov","Year 1","46"
"14 February 2025","Evatt Primary School","Gov","Year 2","43"
"14 February 2025","Evatt Primary School","Gov","Year 3","47"
"14 February 2025","Evatt Primary School","Gov","Year 4","31"
"14 February 2025","Evelyn Scott School","Gov","Year 2","80"
"14 February 2025","Evelyn Scott School","Gov","Year 1","68"
"14 February 2025","Evelyn Scott School","Gov","Year 10","46"
"14 February 2025","Evelyn Scott School","Gov","Year 9","55"
"14 February 2025","Evelyn Scott School","Gov","Year 8","70"
"14 February 2025","Evelyn Scott School","Gov","Year 3","71"
"14 February 2025","Evelyn Scott School","Gov","Year 4","59"
"14 February 2025","Evelyn Scott School","Gov","Year 5","63"
"14 February 2025","Evelyn Scott School","Gov","Year 7","85"
"14 February 2025","Evelyn Scott School","Gov","Year 6","42"
"14 February 2025","Evelyn Scott School","Gov","Preschool","86"
"14 February 2025","Evelyn Scott School","Gov","Kindergarten","78"
