"School","SA1","No. of Students"
"Canberra High School","80101102008","13"
"Canberra High School","80101102402","14"
"Canberra High School","80101102606","15"
"Canberra High School","80101100104","16"
"Caroline Chisholm School","80107107410","5"
"Caroline Chisholm School","80107107903","5"
"Caroline Chisholm School","80107107907","5"
"Caroline Chisholm School","80107108105","5"
"Caroline Chisholm School","80107108418","5"
"Caroline Chisholm School","80107107406","6"
"Caroline Chisholm School","80107107901","6"
"Caroline Chisholm School","80107108301","6"
"Caroline Chisholm School","80107108603","6"
"Caroline Chisholm School","80107107703","7"
"Caroline Chisholm School","80107107707","7"
"Caroline Chisholm School","80107108704","7"
"Caroline Chisholm School","80107107706","8"
"Caroline Chisholm School","80107108705","8"
"Caroline Chisholm School","80107107905","9"
"Caroline Chisholm School","80107107408","10"
"Caroline Chisholm School","80107108701","10"
"Caroline Chisholm School","80107108702","10"
"Caroline Chisholm School","80107107412","11"
"Caroline Chisholm School","80107108707","11"
"Caroline Chisholm School","80107108706","12"
"Caroline Chisholm School","80107107705","13"
"Caroline Chisholm School","80107107413","16"
"Caroline Chisholm School","80107107909","16"
"Caroline Chisholm School","80107107403","17"
"Caroline Chisholm School","80107107701","18"
"Caroline Chisholm School","80107107411","20"
"Caroline Chisholm School","80107107402","21"
"Caroline Chisholm School","80107107702","21"
"Caroline Chisholm School","80107107401","26"
"Caroline Chisholm School","80107107404","28"
"Caroline Chisholm School","80107107409","28"
"Caroline Chisholm School","80107107407","38"
"Caroline Chisholm School","80107107405","59"
"Chapman Primary School","80108109304","5"
"Chapman Primary School","80108109305","5"
"Chapman Primary School","80108109401","5"
"Chapman Primary School","80108109808","5"
"Chapman Primary School","80107108229","6"
"Chapman Primary School","80108109406","6"
"Chapman Primary School","80108109503","8"
"Chapman Primary School","80108109509","9"
"Chapman Primary School","80108109101","11"
"Chapman Primary School","80108109103","12"
"Chapman Primary School","80108109104","14"
"Chapman Primary School","80108109602","14"
"Chapman Primary School","80108109504","16"
"Chapman Primary School","80108109107","18"
"Chapman Primary School","80108109601","18"
"Chapman Primary School","80108109106","19"
"Chapman Primary School","80108109505","22"
"Chapman Primary School","80108109506","23"
"Chapman Primary School","80108109605","23"
"Chapman Primary School","80108109507","24"
"Chapman Primary School","80108109102","26"
"Chapman Primary School","80108109105","26"
"Chapman Primary School","80108109501","26"
"Chapman Primary School","80108109604","26"
"Chapman Primary School","80108109502","27"
"Chapman Primary School","80108109603","32"
"Chapman Primary School","80108109108","33"
"Chapman Primary School","80108109508","40"
"Charles Conder Primary School","80107107503","5"
"Charles Conder Primary School","80107107508","6"
"Charles Conder Primary School","80107107111","7"
"Charles Conder Primary School","80107107504","8"
"Charles Conder Primary School","80107107104","9"
